id,date,week,time_slot,total_user_time_spent_in_mins,total_ads_watched_in_mins,ads_clicked,user_time_spent_versionB_in_mins,ads_watched_vesionB_in_mins,ads_clicked_versionB
67,"Wednesday, June 17, 2020",3,18:00-23:59,460353,1477,14,133502,1477,4
68,"Thursday, June 18, 2020",3,00:00-05:59,396163,12497,6,106964,3048,2
69,"Thursday, June 18, 2020",3,06:00-11:59,295488,7911,0,135924,5955,0
70,"Thursday, June 18, 2020",3,12:00-17:59,396139,8357,10,114880,6240,3
71,"Thursday, June 18, 2020",3,18:00-23:59,513803,48446,23,292867,8859,9
72,"Friday, June 19, 2020",3,00:00-05:59,356417,31235,17,142566,14026,4
73,"Friday, June 19, 2020",3,06:00-11:59,516464,16251,2,216914,16251,1
74,"Friday, June 19, 2020",3,12:00-17:59,98025,6424,16,65676,3473,8
75,"Friday, June 19, 2020",3,18:00-23:59,442190,17494,18,247626,16538,4
76,"Saturday, June 20, 2020",3,00:00-05:59,368704,33719,6,140107,7770,3
77,"Saturday, June 20, 2020",3,06:00-11:59,330099,15146,16,194758,15146,9
78,"Saturday, June 20, 2020",3,12:00-17:59,369176,9778,15,121828,1261,10
79,"Saturday, June 20, 2020",3,18:00-23:59,161243,3976,3,114482,3976,2
80,"Sunday, June 21, 2020",3,00:00-05:59,338032,18976,18,206199,5453,12
81,"Sunday, June 21, 2020",3,06:00-11:59,395711,10396,20,241383,10396,14
82,"Sunday, June 21, 2020",3,12:00-17:59,507789,29684,25,279283,20734,16
83,"Sunday, June 21, 2020",3,18:00-23:59,308172,27668,25,123268,1916,9
84,"Monday, June 22, 2020",4,00:00-05:59,279150,11149,1,209362,5898,0
85,"Monday, June 22, 2020",4,06:00-11:59,309824,6795,5,170403,3589,2
86,"Monday, June 22, 2020",4,12:00-17:59,451540,45042,20,230285,7896,5
87,"Monday, June 22, 2020",4,18:00-23:59,392875,20018,20,145363,9993,13
88,"Tuesday, June 23, 2020",4,00:00-05:59,307023,2791,20,95177,2791,9
89,"Tuesday, June 23, 2020",4,06:00-11:59,411326,1938,53,127511,1938,33
90,"Tuesday, June 23, 2020",4,12:00-17:59,369707,4053,20,247703,4053,9
91,"Tuesday, June 23, 2020",4,18:00-23:59,456864,28665,26,237569,21575,17
92,"Wednesday, June 24, 2020",4,00:00-05:59,289794,22953,24,136203,691,7
93,"Wednesday, June 24, 2020",4,06:00-11:59,327233,13814,21,170161,10793,14
94,"Wednesday, June 24, 2020",4,12:00-17:59,320789,2037,11,163602,2037,4
95,"Wednesday, June 24, 2020",4,18:00-23:59,213648,8153,22,115369,508,12
96,"Thursday, June 25, 2020",4,00:00-05:59,389612,38810,7,276624,9226,3
97,"Thursday, June 25, 2020",4,06:00-11:59,386105,20429,12,108109,1414,8
98,"Thursday, June 25, 2020",4,12:00-17:59,360511,35008,10,245147,24019,5
99,"Thursday, June 25, 2020",4,18:00-23:59,336541,28968,15,222117,3589,6
100,"Friday, June 26, 2020",4,00:00-05:59,218462,250,38,144184,250,19
101,"Friday, June 26, 2020",4,06:00-11:59,317935,22914,0,98559,6954,0
102,"Friday, June 26, 2020",4,12:00-17:59,325728,22205,21,91203,5115,9
103,"Friday, June 26, 2020",4,18:00-23:59,279772,15022,0,139886,1564,0
104,"Saturday, June 27, 2020",4,00:00-05:59,343871,9175,10,244148,9175,3
105,"Saturday, June 27, 2020",4,06:00-11:59,400405,25664,25,184186,12727,9
106,"Saturday, June 27, 2020",4,12:00-17:59,548618,6119,15,170071,2534,7
107,"Saturday, June 27, 2020",4,18:00-23:59,377457,16410,4,150982,543,2
108,"Sunday, June 28, 2020",4,00:00-05:59,385755,17502,7,142729,5269,3
109,"Sunday, June 28, 2020",4,06:00-11:59,352555,33627,21,130445,7207,14
110,"Sunday, June 28, 2020",4,12:00-17:59,168122,14725,7,99191,4263,5
111,"Sunday, June 28, 2020",4,18:00-23:59,357348,9412,17,189394,792,6
112,"Monday, June 29, 2020",5,00:00-05:59,366023,18322,15,120787,4404,9
113,"Monday, June 29, 2020",5,06:00-11:59,606324,10832,8,315288,10832,4
114,"Monday, June 29, 2020",5,12:00-17:59,340763,31098,36,122674,11926,15
115,"Monday, June 29, 2020",5,18:00-23:59,390154,33963,21,163864,653,10
116,"Tuesday, June 30, 2020",5,00:00-05:59,356528,10640,0,192525,6888,0
117,"Tuesday, June 30, 2020",5,06:00-11:59,243132,15534,16,97252,6633,4
118,"Tuesday, June 30, 2020",5,12:00-17:59,474282,28882,8,137541,9173,3
119,"Tuesday, June 30, 2020",5,18:00-23:59,435193,6651,23,230652,6651,9
